,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
6203,Davidson,77,Duquesne,71,Davidson,40.58595371246338,6,46.58595371246338
6204,Gardner-Webb,63,Presbyterian,61,Gardner-Webb,36.03466796875,2,38.03466796875
6205,NJIT,107,Medgar Evers,51,NJIT,,56,
6206,St. John's (NY),70,Butler,62,St. John's (NY),48.984375,8,56.984375
6207,Rice,68,Charlotte,55,Rice,31.0,13,44.0
6208,Rhode Island,62,George Mason,59,Rhode Island,49.25,3,52.25
6209,UNC Asheville,103,High Point,99,UNC Asheville,44.0,4,48.0
6210,Nebraska,66,UCLA,58,Nebraska,58.53903007507324,8,66.53903007507324
6211,FIU,85,Western Ky.,66,FIU,46.306640625,19,65.306640625
6212,UAB,83,Tulsa,51,UAB,32.15625,32,64.15625
6213,N.C. A&T,59,Drexel,68,N.C. A&T,39.359375,-9,30.359375
6214,Iowa St.,74,Baylor,55,Iowa St.,60.4375,19,79.4375
6215,Eastern Mich.,75,NIU,71,Eastern Mich.,24.0,4,28.0
6216,Binghamton,87,UMBC,82,Binghamton,35.610870361328125,5,40.610870361328125
6217,North Florida,64,Lipscomb,96,North Florida,47.21303939819336,-32,15.21303939819336
6218,Mississippi St.,85,South Carolina,50,Mississippi St.,46.75,35,81.75
6219,Coastal Carolina,70,ULM,51,Coastal Carolina,25.25,19,44.25
6220,Bryant,81,Maine,55,Bryant,37.13427734375,26,63.13427734375
6221,North Dakota,80,St. Thomas (MN),88,North Dakota,40.30677032470703,-8,32.30677032470703
6222,Col. of Charleston,77,Towson,69,Col. of Charleston,41.038469314575195,8,49.038469314575195
6223,North Dakota St.,80,Omaha,85,North Dakota St.,38.022769927978516,-5,33.022769927978516
6224,Virginia Tech,86,Miami (FL),85,Virginia Tech,41.625,1,42.625
6225,Evansville,62,Indiana St.,66,Evansville,37.97263717651367,-4,33.97263717651367
6226,Fordham,66,St. Bonaventure,86,Fordham,51.0,-20,31.0
6227,Loyola Chicago,65,VCU,84,Loyola Chicago,52.91224479675293,-19,33.91224479675293
6228,SMU,62,Duke,89,SMU,70.61087036132812,-27,43.610870361328125
6229,Cincinnati,67,Arizona,72,Cincinnati,61.180580139160156,-5,56.180580139160156
6230,Western Caro.,69,Samford,88,Western Caro.,46.603515625,-19,27.603515625
6231,Oakland,71,Robert Morris,79,Oakland,38.625,-8,30.625
6232,Cleveland St.,67,IU Indy,61,Cleveland St.,30.29658031463623,6,36.29658031463623
6233,Jacksonville,68,Austin Peay,44,Jacksonville,27.802383422851562,24,51.80238342285156
6234,Alcorn,69,Jackson St.,72,Alcorn,33.06773376464844,-3,30.067733764648438
6235,Ga. Southern,47,South Alabama,76,Ga. Southern,44.60335159301758,-29,15.603351593017578
6236,East Texas A&M,56,McNeese,75,East Texas A&M,49.0,-19,30.0
6237,Norfolk St.,81,UMES,59,Norfolk St.,22.0,22,44.0
6238,Northern Ariz.,80,Weber St.,77,Northern Ariz.,35.35505676269531,3,38.35505676269531
6239,Alabama St.,84,Mississippi Val.,55,Alabama St.,10.07421875,29,39.07421875
6240,New Mexico St.,78,Louisiana Tech,48,New Mexico St.,43.89247131347656,30,73.89247131347656
6241,Marshall,57,Troy,58,Marshall,44.91935348510742,-1,43.91935348510742
6242,Valparaiso,80,UNI,73,Valparaiso,45.306640625,7,52.306640625
6243,TCU,63,Kansas St.,62,TCU,45.033705711364746,1,46.033705711364746
6244,Auburn,84,Missouri,68,Auburn,57.5,16,73.5
6245,Utah Valley,64,Abilene Christian,53,Utah Valley,31.8193359375,11,42.8193359375
6246,Delaware,84,Monmouth,64,Delaware,32.5859375,20,52.5859375
6247,Virginia,50,Louisville,70,Virginia,59.125,-20,39.125
6248,Morgan St.,72,South Carolina St.,86,Morgan St.,34.375,-14,20.375
6249,Boise St.,68,San Diego St.,76,Boise St.,56.762901306152344,-8,48.762901306152344
6250,Old Dominion,74,Southern Miss.,71,Old Dominion,34.387901306152344,3,37.387901306152344
6251,ETSU,78,Wofford,81,ETSU,40.73723888397217,-3,37.73723888397217
6252,UAlbany,69,UMass Lowell,73,UAlbany,40.33708572387695,-4,36.33708572387695
6253,James Madison,67,Arkansas St.,62,James Madison,44.92603874206543,5,49.92603874206543
6254,Tennessee Tech,74,Morehead St.,55,Tennessee Tech,31.698020935058594,19,50.698020935058594
6255,Sacramento St.,56,Portland St.,53,Sacramento St.,36.0,3,39.0
6256,Northern Colo.,93,Idaho St.,92,Northern Colo.,41.890663146972656,1,42.890663146972656
6257,UNC Greensboro,84,Furman,67,UNC Greensboro,45.0,17,62.0
6258,Southeastern La.,71,A&M-Corpus Christi,80,Southeastern La.,41.939515113830566,-9,32.939515113830566
6259,Radford,87,Winthrop,67,Radford,39.75,20,59.75
6260,Coppin St.,63,N.C. Central,61,Coppin St.,31.5078125,2,33.5078125
6261,Tennessee St.,95,Little Rock,86,Tennessee St.,34.154296875,9,43.154296875
6262,Northwestern St.,68,Nicholls,66,Northwestern St.,38.32915496826172,2,40.32915496826172
6263,VMI,67,Mercer,70,VMI,38.0,-3,35.0
6264,SIUE,58,Lindenwood,47,SIUE,27.124267578125,11,38.124267578125
6265,Eastern Ill.,67,Western Ill.,75,Eastern Ill.,26.802143096923828,-8,18.802143096923828
6266,LSU,72,Vanderbilt,80,LSU,56.339805603027344,-8,48.339805603027344
6267,UT Martin,66,Southeast Mo. St.,63,UT Martin,32.300872802734375,3,35.300872802734375
6268,Eastern Wash.,68,Montana St.,63,Eastern Wash.,37.69123840332031,5,42.69123840332031
6269,Alabama A&M,89,Ark.-Pine Bluff,79,Alabama A&M,11.472640037536621,10,21.47264003753662
6270,Belmont,92,UIC,87,Belmont,44.3359375,5,49.3359375
6271,Idaho,71,Montana,73,Idaho,36.04423522949219,-2,34.04423522949219
6272,Kennesaw St.,83,Jacksonville St.,71,Kennesaw St.,43.70654296875,12,55.70654296875
6273,North Ala.,88,Eastern Ky.,67,North Ala.,38.5,21,59.5
6274,Prairie View,73,Grambling,55,Prairie View,27.69597625732422,18,45.69597625732422
6275,Texas Southern,58,Southern U.,67,Texas Southern,37.886268615722656,-9,28.886268615722656
6276,UNLV,79,San Jose St.,73,UNLV,41.194061279296875,6,47.194061279296875
6277,Tulane,92,UTSA,63,Tulane,35.75,29,64.75
6278,Arizona St.,81,Colorado,61,Arizona St.,48.16218948364258,20,68.16218948364258
6279,Oregon St.,81,San Diego,54,Oregon St.,29.0,27,56.0
6280,New Orleans,64,UTRGV,76,New Orleans,39.515625,-12,27.515625
6281,SFA,49,UIW,55,SFA,35.890777587890625,-6,29.890777587890625
6282,Florida St.,90,Syracuse,74,Florida St.,44.265625,16,60.265625
6283,Florida A&M,55,Bethune-Cookman,62,Florida A&M,34.56894397735596,-7,27.568943977355957
6284,Air Force,65,Wyoming,70,Air Force,39.19597625732422,-5,34.19597625732422
6285,Liberty,73,Middle Tenn.,63,Liberty,45.306640625,10,55.306640625
6286,Kansas City,90,Oral Roberts,67,Kansas City,27.897214889526367,23,50.89721488952637
6287,Alabama,107,Oklahoma,79,Alabama,51.25,28,79.25
6288,CSUN,73,UC Davis,61,CSUN,37.3125,12,49.3125
6289,Pittsburgh,83,Stanford,68,Pittsburgh,48.0,15,63.0
6290,Pacific,70,Pepperdine,87,Pacific,37.52598190307617,-17,20.525981903076172
6291,Longwood,83,Charleston So.,78,Longwood,29.0,5,34.0
6292,Utah,65,Texas Tech,93,Utah,59.66176128387451,-28,31.66176128387451
6293,Lamar University,63,Houston Christian,61,Lamar University,31.0,2,33.0
6294,Washington St.,91,San Francisco,82,Washington St.,49.37135601043701,9,58.37135601043701
6295,Central Mich.,55,Ohio,57,Central Mich.,43.0,-2,41.0
6296,Georgia St.,94,Louisiana,70,Georgia St.,32.498046875,24,56.498046875
6297,Elon,70,Hampton,62,Elon,39.1875,8,47.1875
6298,Purdue Fort Wayne,90,Youngstown St.,81,Purdue Fort Wayne,37.60734558105469,9,46.60734558105469
6299,UNCW,77,Campbell,69,UNCW,35.72271728515625,8,43.72271728515625
6300,Tarleton St.,77,UT Arlington,74,Tarleton St.,33.515625,3,36.515625
6301,Howard,100,Delaware St.,94,Howard,31.5625,6,37.5625
6302,Texas A&M,80,Texas,60,Texas A&M,58.5625,20,78.5625
6303,Bradley,69,Missouri St.,60,Bradley,34.89060592651367,9,43.89060592651367
6304,Southern California,74,Michigan,85,Southern California,63.375,-11,52.375
6305,South Dakota,91,Denver,84,South Dakota,27.0,7,34.0
6306,California Baptist,61,Seattle U,59,California Baptist,37.345672607421875,2,39.345672607421875
6307,Grand Canyon,82,Southern Utah,71,Grand Canyon,37.0,11,48.0
6308,Clemson,80,California,68,Clemson,43.625,12,55.625
6309,LMU (CA),68,Gonzaga,96,LMU (CA),60.60603332519531,-28,32.60603332519531
6310,Cal St. Fullerton,51,UC San Diego,90,Cal St. Fullerton,53.801963806152344,-39,14.801963806152344
6311,UTEP,81,Sam Houston,72,UTEP,38.53125,9,47.53125
6312,Utah St.,89,Fresno St.,83,Utah St.,33.3125,6,39.3125
6313,CSU Bakersfield,80,Long Beach St.,65,CSU Bakersfield,26.210067749023438,15,41.21006774902344
6314,UC Irvine,81,UC Riverside,57,UC Irvine,41.044342041015625,24,65.04434204101562
6315,Portland,58,Saint Mary's (CA),81,Portland,51.30638122558594,-23,28.306381225585938
6316,Hawaii,68,Cal Poly,55,Hawaii,37.0,13,50.0
6317,Penn St.,71,Indiana,77,Penn St.,53.68782424926758,-6,47.68782424926758
6318,Loyola Maryland,80,Lehigh,74,Loyola Maryland,33.427001953125,6,39.427001953125
6319,Mercyhurst,50,Central Conn. St.,62,Mercyhurst,39.494476318359375,-12,27.494476318359375
6320,Wagner,59,FDU,71,Wagner,30.0,-12,18.0
6321,Boston U.,71,Army West Point,63,Boston U.,32.4375,8,40.4375
6322,East Carolina,76,Fla. Atlantic,78,East Carolina,43.4375,-2,41.4375
6323,Brown,98,JWU (Providence),57,Brown,,41,
6324,Rider,79,Manhattan,80,Rider,32.11865234375,-1,31.11865234375
6325,Sacred Heart,99,Canisius,82,Sacred Heart,20.404296875,17,37.404296875
6326,Harvard,71,Bowdoin,65,Harvard,,6,
6327,LIU,53,Chicago St.,39,LIU,20.447998046875,14,34.447998046875
6328,Siena,73,Iona,74,Siena,33.48098945617676,-1,32.48098945617676
6329,Navy,71,Lafayette,70,Navy,33.494476318359375,1,34.494476318359375
6330,Saint Francis,60,Stonehill,64,Saint Francis,29.0,-4,25.0
6331,Mount St. Mary's,68,Niagara,62,Mount St. Mary's,31.9765625,6,37.9765625
6332,American,75,Holy Cross,64,American,33.43473815917969,11,44.43473815917969
6333,UConn,87,Providence,84,UConn,46.339834213256836,3,49.339834213256836
6334,Bucknell,66,Colgate,60,Bucknell,35.890625,6,41.890625
6335,Purdue,79,Northwestern,61,Purdue,51.85548400878906,18,69.85548400878906
6336,Cornell,123,Penn St.-Schuylkill,71,Cornell,,52,
6337,Marist,69,Quinnipiac,62,Marist,37.046958923339844,7,44.046958923339844
6338,Drake,59,Murray St.,66,Drake,41.0,-7,34.0
6339,Oregon,83,Maryland,79,Oregon,57.875,4,61.875
6340,Illinois St.,85,Southern Ill.,54,Illinois St.,35.197919845581055,31,66.19791984558105
6341,Washington,77,Illinois,81,Washington,65.25,-4,61.25
6342,UCF,48,Kansas,99,UCF,61.3800048828125,-51,10.3800048828125
6343,Memphis,68,North Texas,64,Memphis,48.544921875,4,52.544921875
6344,Delaware St.,64,Norfolk St.,73,Delaware St.,41.138671875,-9,32.138671875
6345,Rutgers,63,Wisconsin,75,Rutgers,60.2333984375,-12,48.2333984375
6346,Southeastern La.,79,UTRGV,75,Southeastern La.,39.515625,4,43.515625
6347,Wichita St.,72,South Fla.,91,Wichita St.,38.23003387451172,-19,19.23003387451172
6348,Alabama St.,93,Ark.-Pine Bluff,91,Alabama St.,11.472640037536621,2,13.472640037536621
6349,Northwestern St.,69,McNeese,92,Northwestern St.,49.0,-23,26.0
6350,SFA,73,Houston Christian,83,SFA,31.0,-10,21.0
6351,East Texas A&M,61,Nicholls,83,East Texas A&M,38.32915496826172,-22,16.32915496826172
6352,New Orleans,83,A&M-Corpus Christi,97,New Orleans,41.939515113830566,-14,27.939515113830566
6353,Alabama A&M,79,Mississippi Val.,67,Alabama A&M,10.07421875,12,22.07421875
6354,Coppin St.,77,South Carolina St.,85,Coppin St.,34.375,-8,26.375
6355,Lamar University,72,UIW,58,Lamar University,35.890777587890625,14,49.890777587890625
6356,Prairie View,80,Southern U.,84,Prairie View,37.886268615722656,-4,33.886268615722656
6357,Minnesota,88,Ohio St.,89,Minnesota,57.4454345703125,-1,56.4454345703125
6358,Houston,65,TCU,46,Houston,52.66089630126953,19,71.66089630126953
6359,Texas Southern,71,Grambling,66,Texas Southern,27.69597625732422,5,32.69597625732422
6360,Morgan St.,102,N.C. Central,98,Morgan St.,31.5078125,4,35.5078125
6361,Xavier,72,St. John's (NY),82,Xavier,57.9224910736084,-10,47.9224910736084
6362,Akron,87,Central Mich.,71,Akron,40.123046875,16,56.123046875
6363,West Virginia,56,Arizona,75,West Virginia,61.180580139160156,-19,42.180580139160156
6364,Buffalo,79,Ohio,88,Buffalo,43.0,-9,34.0
6365,Syracuse,62,Georgia Tech,55,Syracuse,42.76759338378906,7,49.76759338378906
6366,Duke,76,Pittsburgh,47,Duke,54.0,29,83.0
6367,Louisville,74,Clemson,64,Louisville,52.875,10,62.875
6368,Georgia,82,Kentucky,69,Georgia,64.28585815429688,13,77.28585815429688
6369,Florida,73,Tennessee,43,Florida,67.0,30,97.0
6370,NIU,50,Kent St.,68,NIU,45.10503387451172,-18,27.10503387451172
6371,Western Mich.,79,Bowling Green,83,Western Mich.,37.35507678985596,-4,33.35507678985596
6372,Ball St.,72,Miami (OH),80,Ball St.,40.250061988830566,-8,32.250061988830566
6373,Toledo,90,Eastern Mich.,87,Toledo,25.0,3,28.0
6374,UAB,81,Tulane,69,UAB,39.40625,12,51.40625
6375,Oklahoma St.,79,Kansas St.,66,Oklahoma St.,45.033705711364746,13,58.033705711364746
6376,Iowa,97,Nebraska,87,Iowa,57.375003814697266,10,67.37500381469727
6377,Marquette,74,Georgetown,66,Marquette,49.0,8,57.0
6378,Iowa St.,82,Utah,59,Iowa St.,54.91191482543945,23,77.91191482543945
6379,Baylor,68,Cincinnati,48,Baylor,56.36847686767578,20,76.36847686767578
6380,UTSA,77,Tulsa,82,UTSA,32.15625,-5,27.15625
6381,Missouri St.,63,UIC,80,Missouri St.,44.3359375,-17,27.3359375
6382,Eastern Ill.,57,SIUE,60,Eastern Ill.,35.90677261352539,-3,32.90677261352539
6383,Vanderbilt,64,Mississippi St.,76,Vanderbilt,59.0,-12,47.0
6384,North Carolina,82,SMU,67,North Carolina,54.0,15,69.0
6385,Texas,82,Auburn,87,Texas,72.0,-5,67.0
6386,Missouri,83,LSU,67,Missouri,48.25,16,64.25
6387,BYU,67,Texas Tech,72,BYU,59.66176128387451,-5,54.66176128387451
6388,Colorado St.,91,Fresno St.,64,Colorado St.,33.3125,27,60.3125
6389,UCLA,75,Michigan,94,UCLA,63.375,-19,44.375
6390,San Jose St.,78,Utah St.,85,San Jose St.,57.0,-7,50.0
6391,Wyoming,53,New Mexico,61,Wyoming,49.0,-8,41.0
6392,Boise St.,81,UNLV,59,Boise St.,46.0,22,68.0
6393,Saint Mary's (CA),81,LMU (CA),56,Saint Mary's (CA),37.18318176269531,25,62.18318176269531
6394,Holy Cross,70,Navy,59,Holy Cross,33.2579345703125,11,44.2579345703125
6395,Army West Point,74,Loyola Maryland,72,Army West Point,33.0,2,35.0
6396,App State,74,Coastal Carolina,51,App State,35.0,23,58.0
6397,Seton Hall,85,DePaul,80,Seton Hall,45.95645523071289,5,50.95645523071289
6398,Youngstown St.,72,Northern Ky.,61,Youngstown St.,37.904457092285156,11,48.904457092285156
6399,Villanova,68,UConn,66,Villanova,60.875,2,62.875
6400,La Salle,68,Loyola Chicago,79,La Salle,38.7574462890625,-11,27.7574462890625
6401,Indiana,82,Southern California,69,Indiana,49.875,13,62.875
6402,Purdue Fort Wayne,78,Milwaukee,73,Purdue Fort Wayne,40.72235107421875,5,45.72235107421875
6403,South Carolina,68,Alabama,88,South Carolina,62.875,-20,42.875
6404,Miami (FL),65,Florida St.,80,Miami (FL),51.0,-15,36.0
6405,NC State,66,Notre Dame,65,NC State,49.0,1,50.0
6406,UNI,68,Murray St.,71,UNI,41.0,-3,38.0
6407,Arkansas,66,Ole Miss,73,Arkansas,59.0,-7,52.0
6408,Rhode Island,67,George Washington,75,Rhode Island,40.943687438964844,-8,32.943687438964844
6409,Bucknell,65,Lafayette,62,Bucknell,33.494476318359375,3,36.494476318359375
6410,Robert Morris,69,Cleveland St.,80,Robert Morris,33.3495569229126,-11,22.349556922912598
6411,Colgate,67,Lehigh,62,Colgate,33.427001953125,5,38.427001953125
6412,The Citadel,63,Furman,67,The Citadel,45.0,-4,41.0
6413,Wofford,77,Western Caro.,69,Wofford,25.00341796875,8,33.00341796875
6414,Mercer,68,ETSU,70,Mercer,40.62460803985596,-2,38.62460803985596
6415,Charleston So.,79,High Point,93,Charleston So.,44.0,-14,30.0
6416,Charlotte,64,Fla. Atlantic,75,Charlotte,43.4375,-11,32.4375
6417,East Carolina,80,Temple,79,East Carolina,43.40625,1,44.40625
6418,Longwood,85,UNC Asheville,76,Longwood,39.5,9,48.5
6419,Massachusetts,76,Dayton,72,Massachusetts,54.8515625,4,58.8515625
6420,George Mason,64,Richmond,58,George Mason,37.78327751159668,6,43.78327751159668
6421,Duquesne,85,Saint Joseph's,81,Duquesne,47.125,4,51.125
6422,UCF,75,Colorado,74,UCF,48.16218948364258,1,49.16218948364258
6423,Bradley,57,Drake,64,Bradley,48.5859375,-7,41.5859375
6424,Boston U.,60,American,54,Boston U.,39.29530048370361,6,45.29530048370361
6425,Gardner-Webb,89,Winthrop,83,Gardner-Webb,39.75,6,45.75
6426,VCU,73,Fordham,61,VCU,35.90625,12,47.90625
6427,USC Upstate,77,Presbyterian,67,USC Upstate,36.03466796875,10,46.03466796875
6428,Belmont,90,Southern Ill.,86,Belmont,35.197919845581055,4,39.197919845581055
6429,Evansville,69,Illinois St.,51,Evansville,43.1328125,18,61.1328125
6430,Valparaiso,98,Indiana St.,95,Valparaiso,37.97263717651367,3,40.97263717651367
6431,Saint Louis,73,St. Bonaventure,68,Saint Louis,51.0,5,56.0
6432,Georgia St.,82,Ga. Southern,78,Georgia St.,35.568359375,4,39.568359375
6433,Providence,84,Butler,65,Providence,48.984375,19,67.984375
6434,Omaha,77,Kansas City,58,Omaha,37.070289611816406,19,56.070289611816406
6435,Gonzaga,93,San Diego,80,Gonzaga,29.0,13,42.0
6436,St. Thomas (MN),73,South Dakota St.,72,St. Thomas (MN),44.0,1,45.0
6437,Illinois,91,Penn St.,52,Illinois,55.418678283691406,39,94.4186782836914
6438,Stanford,70,Virginia Tech,59,Stanford,44.0,11,55.0
6439,Oklahoma,78,Texas A&M,80,Oklahoma,57.0,-2,55.0
6440,North Texas,81,Rice,59,North Texas,39.31210708618164,22,61.31210708618164
6441,Kansas,74,Arizona St.,55,Kansas,52.98872375488281,19,71.98872375488281
6442,San Diego St.,67,Air Force,38,San Diego St.,33.0,29,62.0
6443,California,75,Virginia,61,California,42.0,14,56.0
6444,Little Rock,53,Morehead St.,59,Little Rock,31.698020935058594,-6,25.698020935058594
6445,Chattanooga,75,UNC Greensboro,78,Chattanooga,43.61507034301758,-3,40.61507034301758
6446,Ohio St.,71,Oregon,73,Ohio St.,61.0,-2,59.0
6447,Maine,82,Binghamton,71,Maine,28.0078125,11,39.0078125
6448,Rutgers,50,Purdue,68,Rutgers,58.23876953125,-18,40.23876953125
6449,UMass Lowell,63,Vermont,67,UMass Lowell,35.376458168029785,-4,31.376458168029785
6450,IU Indy,95,Detroit Mercy,61,IU Indy,31.45989990234375,34,65.45989990234375
6451,Bellarmine,59,Jacksonville,74,Bellarmine,41.28623962402344,-15,26.286239624023438
6452,FGCU,75,North Ala.,70,FGCU,43.0,5,48.0
6453,Eastern Ky.,79,North Florida,74,Eastern Ky.,34.5,5,39.5
6454,Hofstra,61,Col. of Charleston,67,Hofstra,46.56413459777832,-6,40.56413459777832
6455,Troy,73,Texas St.,74,Troy,42.94099426269531,-1,41.94099426269531
6456,William & Mary,78,Elon,65,William & Mary,45.33986282348633,13,58.33986282348633
6457,Hampton,55,Campbell,66,Hampton,35.72271728515625,-11,24.72271728515625
6458,Towson,80,Northeastern,73,Towson,37.03664207458496,7,44.03664207458496
6459,Marshall,80,James Madison,78,Marshall,41.66998291015625,2,43.66998291015625
6460,Stony Brook,51,Drexel,67,Stony Brook,39.359375,-16,23.359375
6461,NJIT,64,UMBC,87,NJIT,35.610870361328125,-23,12.610870361328125
6462,New Hampshire,57,UAlbany,61,New Hampshire,32.86102294921875,-4,28.86102294921875
6463,Stetson,75,Central Ark.,65,Stetson,26.526161193847656,10,36.526161193847656
6464,Wright St.,66,Oakland,62,Wright St.,38.0,4,42.0
6465,N.C. A&T,88,Delaware,98,N.C. A&T,37.121315002441406,-10,27.121315002441406
6466,Monmouth,55,UNCW,64,Monmouth,43.11459541320801,-9,34.11459541320801
6467,Middle Tenn.,84,Kennesaw St.,79,Middle Tenn.,38.63145065307617,5,43.63145065307617
6468,Louisiana Tech,81,FIU,64,Louisiana Tech,33.515625,17,50.515625
6469,Western Ky.,67,Jacksonville St.,73,Western Ky.,43.70654296875,-6,37.70654296875
6470,Michigan St.,88,Washington,54,Michigan St.,48.8575439453125,34,82.8575439453125
6471,Oral Roberts,96,North Dakota St.,110,Oral Roberts,43.44704055786133,-14,29.447040557861328
6472,Utah Valley,72,Grand Canyon,64,Utah Valley,44.5,8,52.5
6473,Samford,81,VMI,68,Samford,31.4375,13,44.4375
6474,Southern Miss.,84,ULM,67,Southern Miss.,25.25,17,42.25
6475,Louisiana,60,Old Dominion,71,Louisiana,29.83685874938965,-11,18.83685874938965
6476,Lipscomb,73,Queens (NC),75,Lipscomb,37.0,-2,35.0
6477,Austin Peay,68,West Ga.,72,Austin Peay,27.00341796875,-4,23.00341796875
6478,South Alabama,76,Arkansas St.,62,South Alabama,44.92603874206543,14,58.92603874206543
6479,Southeast Mo. St.,77,Southern Ind.,66,Southeast Mo. St.,28.287002563476562,11,39.28700256347656
6480,Western Ill.,83,UT Martin,85,Western Ill.,30.931049346923828,-2,28.931049346923828
6481,Lindenwood,72,Tennessee St.,62,Lindenwood,28.0814208984375,10,38.0814208984375
6482,Southern Utah,66,Tarleton St.,74,Southern Utah,34.419921875,-8,26.419921875
6483,Eastern Ill.,64,Tennessee Tech,69,Eastern Ill.,30.19811248779297,-5,25.19811248779297
6484,Utah Tech,74,UT Arlington,62,Utah Tech,33.515625,12,45.515625
6485,Sam Houston,68,Liberty,76,Sam Houston,48.06564807891846,-8,40.06564807891846
6486,Montana St.,82,Northern Colo.,83,Montana St.,39.30857753753662,-1,38.30857753753662
6487,UC Davis,63,Cal St. Fullerton,53,UC Davis,28.875003814697266,10,38.875003814697266
6488,Montana,81,Northern Ariz.,76,Montana,34.625,5,39.625
6489,Denver,70,North Dakota,95,Denver,30.022171020507812,-25,5.0221710205078125
6490,Washington St.,94,Pacific,95,Washington St.,33.000003814697266,-1,32.000003814697266
6491,Sacramento St.,67,Idaho,80,Sacramento St.,31.292953491210938,-13,18.292953491210938
